TurnType,RoadType,EnvType,VisibilityConditions,PedestrianLevel,TrafficLevel,DayNight,WeatherConditions,Speed_limit,New_Speed_Limit
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,226.38
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Rain,60,111.02
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,High,Moderate,Night,Clear,60,144.31
Gentle turn,Medium,Highway,Low,Low,Low,Day,Clear,60,156.58
Intersection,Medium,Highway,Low,Low,Moderate,Night,Clear,60,247.38
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,249.36
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,60,97.11
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Residential,High,Low,Low,Day,unknown,60,92.12
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Straight,Medium,Highway,High,Moderate,Low,Night,Clear,60,152.6
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,unknown,60,94.04
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,60,87.89
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
Straight,Medium,Residential,High,Low,Low,Day,Clear,60,85.95
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,96.89
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,60,88.82
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Narrow,Residential,Low,Moderate,Low,Night,Rain,60,661.37
Straight,Wide,Highway,Low,Moderate,Low,Night,Clear,60,369.79
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,60,269.04
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,60,118.37
Straight,Medium,Residential,High,Low,Low,Day,Clear,60,85.95
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,60,269.04
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,90.0
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,60,90.36
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
Straight,Medium,Highway,Low,Low,Low,Day,Clear,60,142.16
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,60,94.67
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,127.07
Straight,Medium,Highway,Low,Moderate,Moderate,Day,Clear,60,131.76
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Rain,60,343.44
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Intersection,Medium,Residential,Low,Moderate,Moderate,Night,Clear,60,296.6
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,249.36
Straight,Medium,Residential,Low,Low,Low,Night,Rain,60,399.13
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
Straight,Medium,Residential,Low,Low,Low,Night,Clear,60,263.1
Sharp turn,Medium,Residential,Low,Low,Moderate,Night,Clear,60,266.62
Intersection,Medium,Residential,High,Moderate,Moderate,Night,Clear,60,166.48
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,60,135.44
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,60,100.79
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,226.38
Straight,Medium,Residential,High,Moderate,Moderate,Day,unknown,60,85.38
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,60,114.16
Straight,Medium,Highway,High,Moderate,Low,Night,Clear,60,152.6
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Straight,Medium,Residential,Low,Low,Low,Night,Clear,60,263.1
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
Straight,Medium,Highway,High,Moderate,Moderate,Day,Rain,60,112.19
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,60,114.16
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,127.07
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,60,87.05
Gentle turn,Medium,Residential,Low,High,Moderate,Night,unknown,60,326.94
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Intersection,Medium,Highway,Low,Low,Moderate,Day,Clear,60,143.98
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,87.74
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,60,268.59
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,60,135.44
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Residential,High,Low,Low,Night,Clear,60,147.67
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Gentle turn,Medium,Residential,High,Moderate,Moderate,Night,Clear,60,150.76
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,78.83
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,60,87.89
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Clear,60,144.06
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Residential,High,Low,Low,Night,Clear,60,147.67
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,60,71.56
Straight,Medium,Residential,High,Moderate,Moderate,Day,unknown,60,85.38
Straight,Medium,Highway,High,Moderate,Low,Day,Rain,60,134.74
Straight,Medium,Highway,High,High,High,Day,Clear,60,116.43
Straight,Medium,Residential,High,Moderate,Low,Day,Clear,60,95.67
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Sharp turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,154.65
Straight,Medium,Highway,High,Moderate,High,Day,Clear,60,102.52
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,60,71.56
Straight,Medium,Residential,Low,Low,Low,Day,Rain,60,232.3
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Low,Night,Clear,60,137.1
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,60,100.79
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
Sharp turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,138.93
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,78.83
Straight,Medium,Residential,Low,Low,Moderate,Day,Clear,60,127.5
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,60,203.38
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,60,97.11
Gentle turn,Medium,Highway,High,High,High,Day,Rain,60,194.55
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Sharp turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,138.93
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,89.95
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,60,100.79
Straight,Wide,Highway,High,Low,Low,Day,Rain,60,164.64
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,Moderate,Moderate,Day,Rain,60,112.19
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Residential,Low,Moderate,Moderate,Night,Rain,60,369.93
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Intersection,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,154.56
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,Low,Low,Moderate,Night,Rain,60,308.54
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,High,Low,Low,Day,Rain,60,121.05
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Wide,Highway,Low,Low,Moderate,Day,Clear,60,161.0
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Straight,Medium,Highway,High,Low,Low,Day,Rain,60,121.05
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,60,100.79
Straight,Medium,Residential,Low,Moderate,Moderate,Day,Clear,60,141.92
Gentle turn,Medium,Highway,High,High,Moderate,Day,Clear,60,92.51
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,60,119.58
Straight,Medium,Highway,High,Low,Low,Day,Rain,60,121.05
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Wide,Residential,High,Low,Moderate,Day,Clear,60,97.33
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,249.36
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,79.66
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,90.0
Sharp turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,96.95
Straight,Medium,Residential,High,Low,Low,Day,Rain,60,130.39
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,High,High,Low,Day,Rain,60,153.02
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,127.07
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,226.38
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,125.74
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Residential,High,Moderate,High,Day,Clear,60,110.43
Straight,Medium,Residential,Low,Moderate,Low,Night,Clear,60,292.85
Intersection,Medium,Highway,Low,High,Moderate,Night,Rain,60,474.43
Gentle turn,Medium,City,High,Low,Low,Day,Clear,60,105.84
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Fogg,60,355.73
Straight,Medium,Residential,High,Low,Low,Day,Clear,60,85.95
Straight,Medium,Highway,High,High,Moderate,Day,Clear,60,83.99
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Clear,60,247.52
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Sharp turn,Medium,Highway,Low,Low,Low,Night,Clear,60,297.27
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Wide,Highway,Low,Low,Low,Night,Rain,60,503.99
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,Low,High,Low,Night,Clear,60,308.78
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Rain,60,123.58
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,249.36
Straight,Medium,Highway,Low,Moderate,Low,Day,Rain,60,240.05
Sharp turn,Medium,Highway,Low,Low,Moderate,Night,Clear,60,247.52
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,79.66
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Intersection,Medium,Highway,Low,Low,Moderate,Night,Clear,60,247.38
Straight,Medium,Residential,Low,Moderate,Moderate,Night,Clear,60,243.85
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,60,100.79
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,60,71.56
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,Low,Low,Low,Night,unknown,60,261.79
Straight,Medium,Highway,Low,Low,Low,Day,unknown,60,152.37
Sharp turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,138.93
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Gentle turn,Wide,Highway,Low,High,High,Day,Clear,60,310.76
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,Low,Low,Low,Night,unknown,60,261.79
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,125.74
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,249.36
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,60,122.96
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Rain,60,136.46
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,60,162.66
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Rain,60,123.58
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Clear,60,144.06
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Intersection,Medium,Highway,High,High,Moderate,Day,Clear,60,102.16
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,Low,Moderate,High,Night,Clear,60,313.82
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,79.66
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,127.07
Gentle turn,Medium,Highway,Low,Moderate,Low,Night,Clear,60,299.47
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Gentle turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,139.96
Straight,Medium,Residential,Low,Low,Low,Night,unknown,60,281.99
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,60,119.58
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Rain,60,218.55
Sharp turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,138.93
Straight,Medium,Highway,High,Low,Low,Night,Clear,60,137.1
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,87.74
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Sharp turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,275.52
Straight,Medium,Highway,Low,Low,Low,Day,Clear,60,142.16
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,60,94.67
Straight,Medium,Residential,Low,Low,Low,Night,Clear,60,263.1
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Rain,60,339.85
Straight,Medium,Residential,Low,Moderate,Moderate,Night,Rain,60,369.93
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Day,Clear,60,145.13
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,60,88.82
Straight,Medium,Residential,Low,Low,Low,Night,Clear,60,263.1
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Clear,60,144.06
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Intersection,Medium,Highway,Low,Low,Moderate,Night,Clear,60,247.38
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Straight,Medium,Highway,High,Low,Moderate,Day,unknown,60,71.21
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Rain,60,136.54
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Wide,Highway,High,Low,Low,Day,Clear,60,119.54
Straight,Medium,Residential,High,Low,Low,Day,Clear,60,85.95
Straight,Wide,Highway,High,Low,High,Day,Clear,60,125.27
Straight,Medium,Highway,Low,Low,Moderate,Night,Fogg,60,322.96
Straight,Medium,Highway,High,Low,Low,Day,Rain,60,121.05
Straight,Medium,Highway,High,Low,Low,Day,unknown,60,85.52
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.86
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,60,122.96
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Rain,60,343.44
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,249.36
Straight,Medium,Highway,Low,Low,Moderate,Day,Fogg,60,187.96
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,78.83
Straight,Medium,Residential,High,Moderate,Moderate,Night,Clear,60,136.87
Sharp turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,87.1
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,60,87.05
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Straight,Medium,Residential,Low,Low,Moderate,Day,Clear,60,127.5
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,Low,Low,Low,Night,unknown,60,261.79
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,60,224.02
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Intersection,Medium,Highway,Low,Low,Low,Night,Clear,60,297.09
Intersection,Medium,Highway,High,Low,Moderate,Night,,60,148.82
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Clear,60,144.06
Straight,Medium,Highway,High,Low,High,Day,Clear,60,92.1
Straight,Medium,Highway,High,Moderate,Low,Night,Rain,60,231.51
Gentle turn,Wide,Highway,High,Low,Moderate,Day,Clear,60,99.53
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Intersection,Medium,Highway,High,Low,Low,Day,Clear,60,97.05
Straight,Medium,Residential,High,Low,Moderate,Night,unknown,60,131.79
Straight,Medium,Highway,High,Moderate,Moderate,Day,unknown,60,79.26
Straight,Wide,Highway,Low,Low,Low,Night,Clear,60,332.21
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,60,71.56
Sharp turn,Wide,Highway,High,High,Moderate,Day,Clear,60,139.03
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,60,122.96
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Straight,Medium,Residential,High,Low,Low,Day,Fogg,60,136.48
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Low,Moderate,Day,unknown,60,71.21
Straight,Medium,Highway,Low,Moderate,Moderate,Day,Fogg,60,209.22
Intersection,Medium,Highway,High,Low,Low,Day,Clear,60,97.05
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,60,269.04
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Intersection,Medium,Highway,High,High,Moderate,Day,Clear,60,102.16
Sharp turn,Medium,Highway,High,Low,Moderate,Night,Clear,60,138.93
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,60,130.84
Straight,Medium,Residential,High,Low,Low,Night,Clear,60,147.67
Straight,Medium,Highway,Low,Low,Low,Night,Rain,60,370.55
Straight,Medium,Residential,Low,Low,Low,Day,Clear,60,153.12
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,79.66
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,60,118.37
Straight,Medium,Highway,High,Moderate,Low,Day,Rain,60,134.74
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,60,127.07
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,60,71.56
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,Low,Low,Moderate,Day,Rain,60,179.57
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Rain,60,111.02
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Straight,Medium,Highway,Low,Low,Moderate,Night,Rain,60,308.54
Straight,Medium,Residential,High,Moderate,Low,Day,Rain,60,145.13
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,60,219.07
Sharp turn,Medium,Residential,High,Low,Low,Day,Clear,60,104.6
Sharp turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,87.1
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,60,90.36
Intersection,Medium,Highway,Low,Moderate,Moderate,Night,Rain,60,417.74
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,60,135.44
Sharp turn,Medium,Residential,High,Low,Low,Day,Clear,60,104.6
Straight,Medium,Residential,Low,Low,Low,Night,Clear,60,263.1
Sharp turn,Medium,Residential,Low,Low,Moderate,Night,Clear,60,266.62
Gentle turn,Medium,Residential,High,Moderate,Low,Day,Clear,60,105.37
Straight,Medium,Residential,High,High,Moderate,Day,Clear,60,90.47
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,60,119.58
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,81.46
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,89.95
Sharp turn,Medium,Highway,Low,Low,Moderate,Day,Rain,60,218.55
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,78.83
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,60,100.79
Straight,Medium,Highway,High,Moderate,Low,Day,Rain,60,134.74
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,High,Low,Moderate,Day,unknown,60,71.21
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,Low,Moderate,Low,Night,Clear,60,271.88
Straight,Medium,Residential,High,Low,Low,Day,Clear,60,85.95
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Residential,High,Low,Low,Day,Rain,60,130.39
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,226.38
Intersection,Medium,Highway,High,Low,Moderate,Night,Clear,60,138.85
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,89.95
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Day,Clear,60,145.13
Straight,Medium,Highway,High,Low,Low,Day,Clear,60,79.79
Straight,Medium,Highway,Low,Low,Low,Day,Clear,60,142.16
Straight,Wide,Residential,High,Low,Low,Day,Rain,60,177.34
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,60,66.44
Straight,Medium,Highway,Low,Moderate,Low,Night,Fogg,60,431.73
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,60,289.79
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,60,73.18
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,60,88.82
Straight,Medium,Highway,Low,Low,Low,Night,Clear,60,244.25
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,Low,Moderate,Moderate,Night,Clear,60,226.38
Gentle turn,Medium,Highway,Low,Low,Low,Night,Rain,60,408.15
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,60,79.66
Straight,Medium,Residential,High,Moderate,Moderate,Night,Clear,60,136.87
Straight,Medium,Residential,Low,Low,Low,Night,Clear,60,263.1
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,60,78.83
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,60,73.95
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,60,88.82
Gentle turn,Medium,Highway,High,Moderate,High,Day,Clear,60,112.92
Straight,Medium,Highway,High,High,Moderate,Night,Clear,60,144.31
Straight,Medium,Residential,High,Low,Low,Day,Rain,60,130.39
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,60,94.67
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,60,80.81
